State,Dates,new_cases,new_deaths,population,weekly_new_cases_mean,weekly_new_deaths_mean,weekly_new_cases_median,weekly_new_deaths_median,weekly_new_cases_mode,weekly_new_deaths_mode,normalized_new_cases,normalized_new_deaths
NY,2022-08-15,35013.0,191.0,19453561,5001,27,5792,31,0.0,0.0,179.9824721036935,0.981825384051794
NY,2022-08-22,31437.0,160.0,19453561,4491,22,5062,25,0.0,25.0,161.6002334996662,0.8224715259072618
NY,2022-08-29,28846.0,171.0,19453561,4120,24,4632,22,0.0,0.0,148.28133522700548,0.8790164433133861
NY,2022-09-05,25440.0,141.0,19453561,3634,20,3762,20,0.0,32.0,130.77297261925466,0.7248030322057746
NY,2022-09-12,25383.0,152.0,19453561,3626,21,3386,19,0.0,0.0,130.4799671381502,0.7813479496118988
NY,2022-09-19,30372.0,177.0,19453561,4338,25,3391,23,0.0,0.0,156.125657405346,0.9098591255349084
NY,2022-09-26,31942.0,142.0,19453561,4563,20,5571,22,0.0,0.0,164.196159253311,0.729943479242695
NY,2022-10-03,29287.0,190.0,19453561,4183,27,0,25,0.0,0.0,150.54827237028738,0.9766849370148736
NY,2022-10-10,27162.0,126.0,19453561,3880,18,4152,14,0.0,0.0,139.62482241683156,0.6476963266519687
NY,2022-10-17,27815.0,226.0,19453561,3973,32,3910,43,0.0,0.0,142.98153433194057,1.1617410303440074
NY,2022-10-24,25883.0,393.0,19453561,3697,56,4173,41,0.0,0.0,133.0501906566104,2.0201956855097123
NY,2022-10-31,27453.0,520.0,19453561,3921,74,4390,0,0.0,0.0,141.1206925045754,2.6730324591986014
NY,2022-11-07,28597.0,173.0,19453561,4085,24,4130,33,0.0,0.0,147.00136391481232,0.8892973373872269
NY,2022-11-14,25670.0,1113.0,19453561,3667,159,4265,0,0.0,0.0,131.95527543774634,5.7213175520923905
NY,2022-11-21,22866.0,207.0,19453561,3266,29,4029,31,0.0,0.0,117.54146194622157,1.06407253664252
NY,2022-11-28,28102.0,267.0,19453561,4014,38,3931,0,0.0,0.0,144.45684263153672,1.3724993588577432
NY,2022-12-05,20932.0,166.0,19453561,2990,23,0,32,0.0,0.0,107.59983737681753,0.8533142081287842
NY,2022-12-12,37132.0,231.0,19453561,5304,33,0,0,0.0,0.0,190.87507937492782,1.1874432655286093
NY,2022-12-19,38223.0,240.0,19453561,5460,34,0,0,0.0,0.0,196.48330709220795,1.2337072888608929
NY,2022-12-26,25706.0,210.0,19453561,3672,30,0,0,0.0,0.0,132.14033153107545,1.0794938777532812
NY,2023-01-02,44889.0,385.0,19453561,6412,55,0,0,0.0,0.0,230.74952704031926,1.979072109214349
