State,Dates,cases,deaths,population,new_cases,new_deaths
NC,2022-11-06,3246175,27234,10488084,0.0,0.0
NC,2022-11-07,3246175,27234,10488084,0.0,0.0
NC,2022-11-08,3246175,27234,10488084,0.0,0.0
NC,2022-11-09,3255540,27264,10488084,9365.0,30.0
NC,2022-11-10,3255540,27264,10488084,0.0,0.0
NC,2022-11-11,3255540,27264,10488084,0.0,0.0
NC,2022-11-12,3255540,27264,10488084,0.0,0.0
NC,2022-11-13,3255540,27264,10488084,0.0,0.0
NC,2022-11-14,3255540,27264,10488084,0.0,0.0
NC,2022-11-15,3255540,27264,10488084,0.0,0.0
NC,2022-11-16,3262335,27305,10488084,6795.0,41.0
NC,2022-11-17,3262335,27305,10488084,0.0,0.0
NC,2022-11-18,3262335,27305,10488084,0.0,0.0
NC,2022-11-19,3262335,27305,10488084,0.0,0.0
NC,2022-11-20,3262335,27305,10488084,0.0,0.0
NC,2022-11-21,3262335,27305,10488084,0.0,0.0
NC,2022-11-22,3262335,27305,10488084,0.0,0.0
NC,2022-11-23,3268501,27347,10488084,6166.0,42.0
NC,2022-11-24,3268501,27347,10488084,0.0,0.0
NC,2022-11-25,3268501,27347,10488084,0.0,0.0
NC,2022-11-26,3268501,27347,10488084,0.0,0.0
NC,2022-11-27,3268501,27347,10488084,0.0,0.0
NC,2022-11-28,3268501,27347,10488084,0.0,0.0
NC,2022-11-29,3268501,27347,10488084,0.0,0.0
NC,2022-11-30,3275343,27371,10488084,6842.0,24.0
NC,2022-12-01,3275343,27371,10488084,0.0,0.0
NC,2022-12-02,3275343,27371,10488084,0.0,0.0
NC,2022-12-03,3275343,27371,10488084,0.0,0.0
NC,2022-12-04,3275343,27371,10488084,0.0,0.0
NC,2022-12-05,3275343,27371,10488084,0.0,0.0
NC,2022-12-06,3275343,27371,10488084,0.0,0.0
NC,2022-12-07,3286948,27533,10488084,11605.0,162.0
NC,2022-12-08,3286948,27533,10488084,0.0,0.0
NC,2022-12-09,3286948,27533,10488084,0.0,0.0
NC,2022-12-10,3286948,27533,10488084,0.0,0.0
NC,2022-12-11,3286948,27533,10488084,0.0,0.0
NC,2022-12-12,3286948,27533,10488084,0.0,0.0
NC,2022-12-13,3286948,27533,10488084,0.0,0.0
NC,2022-12-14,3286948,27533,10488084,0.0,0.0
NC,2022-12-15,3286948,27533,10488084,0.0,0.0
NC,2022-12-16,3300138,27580,10488084,13190.0,47.0
NC,2022-12-17,3300138,27580,10488084,0.0,0.0
NC,2022-12-18,3300138,27580,10488084,0.0,0.0
NC,2022-12-19,3300138,27580,10488084,0.0,0.0
NC,2022-12-20,3300138,27580,10488084,0.0,0.0
NC,2022-12-21,3316814,27629,10488084,16676.0,49.0
NC,2022-12-22,3316814,27629,10488084,0.0,0.0
NC,2022-12-23,3316814,27629,10488084,0.0,0.0
NC,2022-12-24,3316814,27629,10488084,0.0,0.0
NC,2022-12-25,3316814,27629,10488084,0.0,0.0
NC,2022-12-26,3316814,27629,10488084,0.0,0.0
NC,2022-12-27,3316814,27629,10488084,0.0,0.0
NC,2022-12-28,3316814,27629,10488084,0.0,0.0
NC,2022-12-29,3316814,27629,10488084,0.0,0.0
NC,2022-12-30,3316814,27629,10488084,0.0,0.0
NC,2022-12-31,3316814,27629,10488084,0.0,0.0
NC,2023-01-01,3316814,27629,10488084,0.0,0.0
NC,2023-01-02,3316814,27629,10488084,0.0,0.0
NJ,2022-05-30,2378143,33673,8882190,0.0,0.0
NJ,2022-05-31,2391574,33702,8882190,13431.0,29.0
NJ,2022-06-01,2391574,33702,8882190,0.0,0.0
NJ,2022-06-02,2399878,33742,8882190,8304.0,40.0
NJ,2022-06-03,2399878,33742,8882190,0.0,0.0
NJ,2022-06-04,2399878,33742,8882190,0.0,0.0
NJ,2022-06-05,2399878,33742,8882190,0.0,0.0
NJ,2022-06-06,2408981,33760,8882190,9103.0,18.0
NJ,2022-06-07,2408981,33760,8882190,0.0,0.0
NJ,2022-06-08,2421581,33811,8882190,12600.0,51.0
NJ,2022-06-09,2425321,33821,8882190,3740.0,10.0
NJ,2022-06-10,2425321,33821,8882190,0.0,0.0
NJ,2022-06-11,2425321,33821,8882190,0.0,0.0
NJ,2022-06-12,2425321,33821,8882190,0.0,0.0
NJ,2022-06-13,2435474,33859,8882190,10153.0,38.0
NJ,2022-06-14,2438616,33879,8882190,3142.0,20.0
NJ,2022-06-15,2441695,33896,8882190,3079.0,17.0
NJ,2022-06-16,2441695,33896,8882190,0.0,0.0
NJ,2022-06-17,2448360,33920,8882190,6665.0,24.0
NJ,2022-06-18,2448360,33920,8882190,0.0,0.0
NJ,2022-06-19,2448360,33920,8882190,0.0,0.0
NJ,2022-06-20,2454771,33939,8882190,6411.0,19.0
NJ,2022-06-21,2457620,33949,8882190,2849.0,10.0
NJ,2022-06-22,2461164,33966,8882190,3544.0,17.0
NJ,2022-06-23,2461164,33966,8882190,0.0,0.0
NJ,2022-06-24,2467695,33994,8882190,6531.0,28.0
